AE_Gujarat_2012																																													
Assembly_No	Year	month	DelimID	Poll_No	District_Name	Sub_Region	Constituency_Name	Constituency_No	Constituency_Type	Candidate	Sex	Age	Party	Position	Candidate_Type	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Margin	Margin_Percentage	Turnout_Percentage	N_Cand	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	No_Terms	Turncoat	Incumbent	Recontest	Deposit_Lost	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second	TCPD_Prof_Second_Desc	Election_Type
12	2012	12	4	0	Surat	South Gujarat	SURAT WEST	167	GEN	USHABEN BABUBHAI PATEL	F	59	INC	2	GEN	29368	196643	133337	22.03	26474	19.85	67.81	6	1.67	FALSE	3	INC	3482	OLPAD	FALSE	TRUE	1	FALSE	FALSE	FALSE	no	AEGJ3729	National Party	3482	10th Pass	Social Work				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	CHORASI	168	GEN	RAJENDRABHAI PARABHUBHAI PATEL (RAJABHAI)	M	57	BJP	1	GEN	119917	304425	191338	62.67	67638	35.35	62.85	14	2.17	FALSE	1						1	FALSE	FALSE	FALSE	no	AEGJ14293	National Party	1605	10th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	CHORASI	168	GEN	SATISHBHAI CHAMPAKBHAI PATEL	M	38	INC	2	GEN	52279	304425	191338	27.32	46373	24.24	62.85	14	2.17	FALSE	1						0	FALSE	FALSE	FALSE	no	AEGJ14298	National Party	3482	8th Pass	Business	Real Estate or Builder or Developer or Construction	Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	BARDOLI	169	SC	PARMAR ISHWARBHAI ALIAS ANILBHAI RAMANBHAI	M	41	BJP	1	SC	81049	200474	149274	54.3	22272	14.92	74.46	6	2.22	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14308	National Party	1605	10th Pass	Other				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	BARDOLI	169	SC	RANA NITINBHAI GOPALBHAI	M	45	INC	2	SC	58777	200474	149274	39.38	54929	36.8	74.46	6	2.22	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14309	National Party	3482	Others	Business				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	MAHUVA (ST)	170	ST	DHODIYA MOHANBHAI DHANJIBHAI	M	55	BJP	1	ST	74161	202882	155482	47.7	11687	7.52	76.64	7	2.5	TRUE	4	BJP	1605	MAHUVA	TRUE	TRUE	2	FALSE	FALSE	TRUE	no	AEGJ6664	National Party	1605						State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	MAHUVA (ST)	170	ST	ISHWARBHAI NARSINHBHAI VAHIA	M	65	INC	2	ST	62474	202882	155482	40.18	50858	32.71	76.64	7	2.5	TRUE	7	INC	3482	MAHUVA	TRUE	TRUE	3	FALSE	TRUE	TRUE	no	AEGJ6662	National Party	3482	10th Pass	Agriculture		Social Work		State Assembly Election (AE)
12	2012	12	4	0	Tapi	South Gujarat	VYARA	171	ST	PUNABHAI DHEDABHAI GAMIT	M	54	INC	1	ST	73138	190866	149542	48.91	13556	9.07	78.35	10	2.5	TRUE	2	INC	3482	VYARA	TRUE	TRUE	2	FALSE	TRUE	TRUE	no	AEGJ12622	National Party	3482	5th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Tapi	South Gujarat	VYARA	171	ST	GAMIT PRATAPBHAI BABUBHAI	M	53	BJP	2	ST	59582	190866	149542	39.84	53669	35.89	78.35	10	2.5	TRUE	6	BJP	1605	VYARA	TRUE	TRUE	3	FALSE	FALSE	TRUE	no	AEGJ9135	National Party	1605	10th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Tapi	South Gujarat	NIZAR	172	ST	GAMIT KANTILALBHAI RESHMABHAI	M	60	BJP	1	ST	90191	230048	192618	46.82	9924	5.15	83.73	9	2.56	TRUE	4	BJP	1605	NIJHAR	FALSE	TRUE	2	FALSE	FALSE	TRUE	no	AEGJ101230	National Party	1605	10th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Tapi	South Gujarat	NIZAR	172	ST	VASAVA PARESHBHAI GOVINDBHAI	M	42	INC	2	ST	80267	230048	192618	41.67	73772	38.3	83.73	9	2.56	TRUE	4	INC	3482	NIJHAR	FALSE	TRUE	3	FALSE	TRUE	TRUE	no	AEGJ10350	National Party	3482	12th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Dangs	South Gujarat	DANGS	173	ST	GAVIT MANGALBHAI GANGAJIBHAI	M	52	INC	1	ST	45637	144401	100702	45.32	2422	2.41	69.74	7	2.56	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14345	National Party	3482	10th Pass	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Dangs	South Gujarat	DANGS	173	ST	VIJAYBHAI RAMESHBHAI PATEL	M	38	BJP	2	ST	43215	144401	100702	42.91	38485	38.22	69.74	7	2.56	TRUE	3	BJP	1605	DANGS-BANSDA	FALSE	TRUE	1	FALSE	TRUE	TRUE	no	AEGJ11443	National Party	1605	Graduate	Business		Agriculture		State Assembly Election (AE)
