AE_Gujarat_2017																																						
Year	Assembly_No	District_Name	Sub_Region	Name	Type	Number	Candidate	Sex	Age	Party	Position	No_Terms	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Turnout_Percentage	Margin	Margin_Percentage	No of candidates	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	Turncoat	Incumbent	Recontest	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	PANKAJBHAI ANOPCHAND MAHETA	M	46	BJP	2	0	48605	216390	130112	37.36	60.13	43991	33.81	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1817	National Party	1605	5th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	None of the Above			NOTA	3		4614	216390	130112	3.55	60.13	1858	1.43	13	2.63	TRUE											NOTA	5897				
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	GADA BABULAL MEGHJI	M	75	NCP	4	4	2756	216390	130112	2.12	60.13	166	0.13	13	2.63	TRUE	10	INC	3482	RAPAR	TRUE	FALSE	TRUE	FALSE	FALSE	AEGJ1159	State-based Party (Other State)	5792	8th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	MAHADEVBHAI KHUMANNBHAI BAGADA	M	38	BMUP	5	0	2590	216390	130112	1.99	60.13	870	0.67	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1219	Local Party	1074	Graduate Professional	Liberal Profession or Professional	Lawyer	
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	PARMAR VALJIBHAI DEVJIBHAI	M	37	IND	6	0	1720	216390	130112	1.32	60.13	512	0.39	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1354	Independents	10809	10th Pass	Labourer or Daily Wage		
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	CHAVADA SUDHA BAKUL	F	37	BSP	7	0	1208	216390	130112	0.93	60.13	188	0.14	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1204	State-based Party (Other State)	16651	Graduate Professional	Liberal Profession or Professional	Lawyer	
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	KOLI MEGHABHAI JIVABHAI	M	53	VPP	8	0	1020	216390	130112	0.78	60.13	49	0.04	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1207	Local Party	8518				
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	JADEJA NARENDRASINH TAPUBHA	M	44	IND	9	0	971	216390	130112	0.75	60.13	12	0.01	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1308	Independents	10809	10th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	DABHI MOHANBHAI TULSHIBHAI	M	71	IND	10	0	959	216390	130112	0.74	60.13	259	0.2	13	2.63	TRUE	7	IND	10809	LIMBDI	FALSE	TRUE	FALSE	FALSE	FALSE	AEGJ1991	Independents	10809	Post Graduate	Liberal Profession or Professional	Lawyer	Agriculture
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	GAMI RUDIBEN BABUBHAI	F	46	IND	11	0	700	216390	130112	0.54	60.13	256	0.2	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1288	Independents	10809	5th Pass	Other	Household	
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	KOLI RAMESH RAVABHAI	M	38	IND	12	0	444	216390	130112	0.34	60.13	51	0.04	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1287	Independents	10809	5th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	INDRASINH GOVUBHA JADEJA	M	51	IND	13	0	393	216390	130112	0.3	60.13	75	0.06	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1274	Independents	10809	10th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	RAPAR	GEN	6	MAKAVANA RAMESHBHAI KUMBHABHAI	M	33	AINHCP	14	0	318	216390	130112	0.24	60.13	0	0	13	2.63	TRUE	1						FALSE	FALSE	FALSE	AEGJ1209	Local Party	662	5th Pass	Agriculture		
